timestamp,orm,op,size,table,reps,duration_ms,rows_affected,energy_j
"2025-12-02T22:35:03.2841564Z","dapper","create","medium","Medium",2000,5366,2000,38.10976500000004
"2025-12-02T22:37:36.9613231Z","dapper","create","medium","Medium",2000,5087,2000,38.03609600000004
"2025-12-02T22:38:15.9931463Z","dapper","create","medium","Medium",2000,5113,2000,38.26131600000008
"2025-12-02T22:39:12.6149451Z","dapper","create","medium","Medium",2000,5028,2000,38.46785799999998
"2025-12-02T22:40:17.5976944Z","dapper","create","medium","Medium",2000,5145,2000,38.028283999999985
"2025-12-02T22:43:05.1368212Z","dapper","create","medium","Medium",4000,10374,4000,74.00383899999997
"2025-12-02T22:43:42.7465059Z","dapper","create","medium","Medium",4000,10479,4000,75.68748900000037
"2025-12-02T22:44:29.9214340Z","dapper","create","medium","Medium",4000,10166,4000,71.88708399999996
"2025-12-02T22:45:13.0977978Z","dapper","create","medium","Medium",4000,10103,4000,69.56378700000005
"2025-12-02T22:45:58.1814141Z","dapper","create","medium","Medium",4000,10173,4000,69.41083300000037
"2025-12-02T22:50:58.5511303Z","efcore","create","medium","Medium",2000,10393,2000,112.57612700000027
"2025-12-02T22:51:56.6210960Z","efcore","create","medium","Medium",2000,10360,2000,112.27070800000001
"2025-12-02T22:52:54.4941397Z","efcore","create","medium","Medium",2000,10167,2000,110.4706640000004
"2025-12-02T22:53:26.2079304Z","efcore","create","medium","Medium",2000,10266,2000,112.58680899999945
"2025-12-02T22:54:04.5003881Z","efcore","create","medium","Medium",2000,10410,2000,113.61317400000007
"2025-12-02T22:55:22.4935085Z","efcore","create","medium","Medium",4000,23322,4000,251.2240270000002
"2025-12-02T22:56:14.1978174Z","efcore","create","medium","Medium",4000,23386,4000,252.51699300000018
"2025-12-02T22:57:37.3157033Z","efcore","create","medium","Medium",4000,22996,4000,248.02170399999977
"2025-12-02T22:58:29.4748028Z","efcore","create","medium","Medium",4000,23088,4000,249.60940699999992
"2025-12-02T22:59:28.8011323Z","efcore","create","medium","Medium",4000,23255,4000,250.26797499999975
"2025-12-02T23:00:45.9964260Z","nhib","create","medium","Medium",2000,8252,0,81.3999989999993
"2025-12-02T23:04:22.0369967Z","nhib","create","medium","Medium",2000,8297,0,83.24191299999984
"2025-12-02T23:06:19.4046531Z","nhib","create","medium","Medium",2000,8355,0,82.69034000000102
"2025-12-02T23:06:52.4571100Z","nhib","create","medium","Medium",2000,8346,0,82.35348800000065
"2025-12-02T23:07:28.9082586Z","nhib","create","medium","Medium",2000,8284,0,82.08536100000128
"2025-12-02T23:08:40.7584050Z","nhib","create","medium","Medium",4000,19370,0,192.58373500000016
"2025-12-02T23:10:33.2438250Z","nhib","create","medium","Medium",4000,19619,0,194.81456400000025
"2025-12-02T23:13:00.6959705Z","nhib","create","medium","Medium",4000,19494,0,192.36345999999867
"2025-12-02T23:15:26.4064930Z","nhib","create","medium","Medium",4000,19275,0,191.36706400000003
"2025-12-02T23:17:47.4582814Z","nhib","create","medium","Medium",4000,19273,0,191.26617299999998
"2025-12-02T23:28:06.0999591Z","dapper","delete","large","Large",2000,4992,2000,37.224513999999544
"2025-12-02T23:29:42.6910460Z","dapper","delete","large","Large",2000,5023,2000,37.729701000000205
"2025-12-02T23:30:22.7819651Z","dapper","delete","large","Large",2000,4962,2000,36.71554300000025
"2025-12-02T23:30:52.7435696Z","dapper","delete","large","Large",2000,4950,2000,36.65792599999986
"2025-12-02T23:31:45.5562271Z","dapper","delete","large","Large",2000,4928,2000,36.502714000000196
"2025-12-02T23:32:33.3562202Z","dapper","delete","large","Large",4000,9900,4000,66.89844900000026
"2025-12-02T23:33:22.0469047Z","dapper","delete","large","Large",4000,10131,4000,67.65571099999943
"2025-12-02T23:34:07.5272519Z","dapper","delete","large","Large",4000,9863,4000,66.75104999999894
"2025-12-02T23:35:47.1359450Z","dapper","delete","large","Large",4000,9853,4000,66.9922600000009
"2025-12-02T23:36:29.7057663Z","dapper","delete","large","Large",4000,9820,4000,66.48701299999993
"2025-12-02T23:37:21.9172440Z","efcore","delete","large","Large",2000,9520,2000,105.9288059999999
"2025-12-02T23:38:05.7027606Z","efcore","delete","large","Large",2000,9542,2000,106.43295500000022
"2025-12-02T23:39:55.7482503Z","efcore","delete","large","Large",2000,9602,2000,107.0916449999986
"2025-12-02T23:40:30.0081487Z","efcore","delete","large","Large",2000,9517,2000,106.38455400000021
"2025-12-02T23:41:19.4402829Z","efcore","delete","large","Large",2000,9459,2000,105.80160899999828
"2025-12-02T23:43:01.4415584Z","efcore","delete","large","Large",4000,17260,4000,174.56522699999914
"2025-12-02T23:44:49.0203243Z","efcore","delete","large","Large",4000,17327,4000,174.23838499999692
"2025-12-02T23:45:30.4092482Z","efcore","delete","large","Large",4000,17178,4000,174.28763999999865
"2025-12-02T23:46:22.3086040Z","efcore","delete","large","Large",4000,17115,4000,174.9163609999996
"2025-12-02T23:48:04.1887087Z","efcore","delete","large","Large",4000,17193,4000,174.5831709999984
"2025-12-02T23:50:22.9255125Z","nhib","delete","large","Large",2000,6907,0,70.43176599999788
"2025-12-02T23:53:18.0612799Z","nhib","delete","large","Large",2000,6869,0,70.18085100000098
"2025-12-02T23:54:32.6034584Z","nhib","delete","large","Large",2000,6871,0,70.58593900000051
"2025-12-02T23:56:38.7303378Z","nhib","delete","large","Large",2000,6884,0,70.18048400000043
"2025-12-02T23:59:08.9975186Z","nhib","delete","large","Large",2000,6900,0,70.21142899999904
"2025-12-03T00:02:34.1191496Z","nhib","delete","large","Large",4000,13551,0,125.9786810000005
"2025-12-03T00:04:29.2558935Z","nhib","delete","large","Large",4000,13625,0,126.38761499999964
"2025-12-03T00:06:45.9429951Z","nhib","delete","large","Large",4000,13414,0,124.74272300000302
"2025-12-03T00:09:15.1330271Z","nhib","delete","large","Large",4000,13589,0,126.02299299999868
"2025-12-03T00:11:00.1953660Z","nhib","delete","large","Large",4000,13128,0,123.17766300000221
